orden,DELITO,ART. CP,TIPO DE PENA,AÑOS PENA,VALORACIÓN ASIGNADA
502,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Desaparición forzada de personas,art. 142 ter,Reclusión o Prisión e Inhabilitación Absoluta,10a - 25a,850
,Delitos contra la seguridad pública - Atentado contra la seguridad de medios de transporte culposo,"196, inc. 4°",Reclusión o Prisión,10a - 25a,850
,Delitos contra la seguridad pública - Piratería seguida de muerte,199,Reclusión o Prisión,10a - 25a,850
,"Delitos contra la seguridad pública - Naufragio, varamiento o desastre aéreo calificado","190, 3er. párr. ",Reclusión o Prisión,10a - 25a,850
254,Delitos contra la integridad sexual - Violación seguida de muerte,119,Prisión,8a - 20a,800
255,Delitos contra la integridad sexual - Estupro seguido de muerte,119,Prisión,8a - 20a,800
96,Delitos contra la propiedad - Robo seguido de muerte,165,Reclusión o Prisión,5a - 15a,750
17,Delitos contra las personas (dolosos) - Homicidio simple,79,Reclusión o Prisión,8a - 25a,700
335,"Delitos contra la seguridad pública - Incendio, explosión e inundación - Incendio, explosión e inundación seguida de muerte",art. 186 inc. 5,Reclusión o Prisión,8a - 20a,700
361,Delitos contra el orden público - Incitación a la violencia colectiva,210 bis,Reclusión o Prisión,5a - 20a,700
363,Delitos contra la seguridad de la Nación - Traición agravada,214,Reclusión o Prisión,10a - 25a,700
417,Delitos contra la propiedad - Robo calificado - Robo a mano armada,166,Reclusión o Prisión,5a-15a +1/3,700
441,"Delitos contra las personas (dolosos) - Homicidio calificado - Homicidio calificado a miembros de seguridad, policial o penitenciaría",80 inc. 8,Reclusión o Prisión,8a - 25a,700
464,Delitos contra la propiedad - Usurpación - Incendio o estrago culposo seguido de muerte,186 inc 5,Reclusión o Prisión,8a - 20a,700
535,Delitos previstos por Leyes Especiales y Decretos Ley - Ley N° 26.842 Prevención y sanción de la trata de personas y asistencia a sus victimas,145bis/ter inc,Prisión,4a - 15a,700
537,Delitos previstos por Leyes Especiales y Decretos Ley - Ley Antiterrorismo - Financiación del terrorismo,306,Prisión,5a - 15a,700
565,Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 Organizador o financista de comercialización o contrabando de estupefacientes,art.  7 ,Prisión,8a - 20a,700
567,"Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 a) En perjuicio de mujeres embarazadas, de personas disminuídas psíquicamente o de menores de 18 años",art. 11 ,Reclusión o Prisión,aumentadas en un tercio del máximo a la mitad del mínimo,700
568,"Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 b) Con violencia, intimidación o engaño",art. 11 ,Reclusión o Prisión,aumentadas en un tercio del máximo a la mitad del mínimo,700
569,Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 c) con intervención de tres o más personas organizadas,art. 11 ,Reclusión o Prisión,aumentadas en un tercio del máximo a la mitad del mínimo,700
570,Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 d) intervención de funcionario público encargado de la prevención o persecución de los delitos aquí previstos y/o encargado de la guarda de presos,art. 11 ,Reclusión o Prisión,aumentadas en un tercio del máximo a la mitad del mínimo,700
571,"Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 e) dentro de un estableciemiento de enseñanza, centro asistencial, lugar de detención, intitución deportiva, cultural o social o en las inmediaciones",art. 11 ,Reclusión o Prisión,aumentadas en un tercio del máximo a la mitad del mínimo,700
572,"Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 f) intervención de un docente, educador o empleado de establecimientos educacionales en general",art. 11 ,Reclusión o Prisión,aumentadas en un tercio del máximo a la mitad del mínimo,700
587,Delitos contra la integridad sexual - Abuso sexual con grave daño a la salud física o mental de la víctima,art. 119,Reclusión o Prisión,8a - 20a,700
588,"Delitos contra la integridad sexual - Abuso sexual  cometido por ascendiente, descendiente, a fin en línea recta, hermano, tutor, curador, ministro de algún culto reconocido o no, encargado de la educación o de la guarda",art. 119,Reclusión o Prisión,8a - 20a,700
589,"Delitos contra la integridad sexual - Abuso sexual cometido por autor que tuviere conocimiento de ser portador de una enfermedad de transmisión sexual grave, y hubiere existido peligro de contagio.",art. 119,Reclusión o Prisión,8a - 20a,700
590,"Delitos contra la integridad sexual - Abuso sexual cometido por dos o más personas,  o con armas.",art. 119,Reclusión o Prisión,8a - 20a,700
591,Delitos contra la integridad sexual - Abuso sexual cometido  por personal perteneciente a las fuerzas policiales o de seguridad en ocasión de sus funciones.,art. 119,Reclusión o Prisión,8a - 20a,700
629,Delitos previstos por Leyes de Estupefacientes - trafico,varios delitos,Prisión,4a - 15a,700
